Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_targets	num_decoy_targets	serialized_eq_classes	num_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	percent_mapped	call	start_time	end_time	num_valid_targets	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm
ctrl.1.0.5_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	814684	0	0.0	quant	Fri Dec 17 18:07:19 2021	Fri Dec 17 18:09:04 2021					
ctrl.1.0.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST	1.6.0	none	vb	[]	1	['IU']	1001	211.61087945418427	123.00266329447525	True	True	4096	mapping	False		194	False	75426	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	814684	609945	74.86890622621777	quant	Thu Dec 16 22:03:25 2021	Thu Dec 16 22:09:39 2021	236186	51448	7427	102967	1201027
ctrl.1.0.5_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	208.14803596508537	122.59169194175122	True	True	4096	mapping	False		182	False	99832	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	814684	659849	80.99447147605697	quant	Fri Dec 17 14:33:59 2021	Fri Dec 17 14:43:58 2021	5394927	38569	11164	94047	1880796
ctrl.1.0.5_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST	1.6.0	none	vb	[]	1	['IU']	1001	211.48014310999037	122.89151835154485	True	True	4096	mapping	False		194	False	75993	['range_factorized', 'gzipped']	[545, 753, 1333, 2558, 205012]	080df8fc08ea8d4956149a5aa597f9b4f1a59421eaf2e5180b5c9d62d6ffc8e0	ae1350e441e016eb2a3717a836173975334a9598f04efeb285c198ea2fed8509	c21e6ea8470ea3191fd826f17e0fc57a7e6488b5b3fb632d435b083d28ba3f013d1cb8c5409d5448b621cbc4256e7cddf9819da72a9482a8856db4c5191e2c94	8e909ba56e00bafc049f1c2f1150971a5a89bcbeaa99b5f73008407482d7d735961998abae24c5174666b6d451901a6ce1c7c35fdfb505ca0324337e0ea5ba41	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	814684	610574	74.94611407613259	quant	Wed Jan 05 16:33:42 2022	Wed Jan 05 16:41:30 2022	243577	51417	7436	102901	1206170
ctrl.1.1.5_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	407888	0	0.0	quant	Fri Dec 17 18:09:09 2021	Fri Dec 17 18:10:49 2021					
ctrl.1.1.5_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.02.19-PST	1.6.0	none	vb	[]	1	['IU']	1001	250.51128985642495	122.81623225228779	True	True	4096	mapping	False		194	False	54862	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	407888	339279	83.17945122190406	quant	Thu Dec 16 22:10:15 2021	Thu Dec 16 22:15:49 2021	236186	21251	3902	43385	442274
ctrl.1.1.5_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST	1.6.0	none	vb	[]	1	['IU']	1001	249.17585662148846	123.29094481179327	True	True	4096	mapping	False		182	False	63063	['range_factorized', 'gzipped']	[83, 158, 277, 362, 500000]	ec382acffce98c893f7ca03787d511721ca8273975e8f6245bc50735e1c6c688	77cadbf221c491e348b5188f1eb066bb1d3857fba256cbc05a96107e54bb2bfd	a657c7135db6f99bf7460fa70feedd8bbbba96f6f690ef785b2ac7ff069e2188e79b56bfa208ee6df2f01337cad095ed0eb7dd05acfc0805b2f4f201e9385426	0fe6f28eb3a07d98c4d173b222be928b8b348d04e4daf2fe34903322e2b92c0c98d10abda7de88b042c143b48c8f648b10cf9d1ad57a358390032c5650052adf	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	407888	357813	87.72334562428902	quant	Fri Dec 17 14:44:13 2021	Fri Dec 17 14:52:41 2021	5394927	14505	5107	37507	593100
ctrl.1.1.5_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST	1.6.0	none	vb	[]	1	['IU']	1001	250.52012325235307	122.67144710183113	True	True	4096	mapping	False		194	False	55222	['range_factorized', 'gzipped']	[545, 753, 1333, 2558, 205012]	080df8fc08ea8d4956149a5aa597f9b4f1a59421eaf2e5180b5c9d62d6ffc8e0	ae1350e441e016eb2a3717a836173975334a9598f04efeb285c198ea2fed8509	c21e6ea8470ea3191fd826f17e0fc57a7e6488b5b3fb632d435b083d28ba3f013d1cb8c5409d5448b621cbc4256e7cddf9819da72a9482a8856db4c5191e2c94	8e909ba56e00bafc049f1c2f1150971a5a89bcbeaa99b5f73008407482d7d735961998abae24c5174666b6d451901a6ce1c7c35fdfb505ca0324337e0ea5ba41	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	407888	339647	83.26967206684188	quant	Wed Jan 05 16:41:42 2022	Wed Jan 05 16:49:07 2022	243577	21178	3908	43255	444993
ctrl.1.2.0_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST	1.6.0	none	none	['insufficient_assigned_fragments']	1	['IU']	0	0.0	0.0	False	False	0	mapping	False	0	194	False	0	['range_factorized', 'gzipped']	[]	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	1669535	0	0.0	quant	Fri Dec 17 18:10:54 2021	Fri Dec 17 18:12:42 2021					
ctrl.1.2.0_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST	1.6.0	none	vb	[]	1	['IU']	1001	311.84079161182365	121.43067712455384	True	True	4096	mapping	False		194	False	108347	['range_factorized', 'gzipped']	[543, 742, 1307, 2531, 347561]	3b752bf3c19b81b04b47aaf645fc69f3361d4f1a9dadf8acb941ab9fa889e9a3	4f1b44ac48e5616105e8fdfb05a1b0e3f39a9005e27b9fb8c1e6d18cc3dfd91d	74f418352106e5baa911a4ab6aba9ee586df40b81049e9566a2a7b9e6c9fb1547a2a3d6e8a6f543420b78568100b4cd339523d5a962d2128e855f89b98e447cc	86e6ff7283dd2cb9459f64b7f17c7ef181a3f0e59ff87b79fde723f60f707f8a587125b1d4ee53edeef651ea6b29042a0de03f5bd6018dbd105942bbe53f42a5	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	1669535	1467128	87.87644463877666	quant	Thu Dec 16 22:28:45 2021	Thu Dec 16 22:34:57 2021	236186	93860	16308	134170	1492578
